count,category,name,class,pop
336,All Crime,Saddle Ridge Industrial,Industrial,25
771,All Crime,Sage Hill,Residential,7924
370,All Crime,Sandstone Valley,Residential,5904
205,All Crime,Scarboro,Residential,931
67,All Crime,Scarboro/Sunalta West,Residential,401
560,All Crime,Scenic Acres,Residential,8067
138,All Crime,Section 23,Industrial,0
755,All Crime,Seton,Residential,1134
503,All Crime,Shaganappi,Residential,1626
320,All Crime,Shawnee Slopes,Residential,1911
1426,All Crime,Shawnessy,Residential,9368
574,All Crime,Shepard Industrial,Industrial,255
483,All Crime,Sherwood,Residential,6246
1303,All Crime,Signal Hill,Residential,13395
748,All Crime,Silver Springs,Residential,8679
395,All Crime,Silverado,Residential,7655
131,All Crime,Skyline East,Industrial,0
238,All Crime,Skyline West,Industrial,0
1337,All Crime,Skyview Ranch,Residential,11707
661,All Crime,Somerset,Residential,8543
1078,All Crime,South Airways,Industrial,0
1213,All Crime,South Calgary,Residential,4442
388,All Crime,South Foothills,Industrial,0
830,All Crime,Southview,Residential,1805
1485,All Crime,Southwood,Residential,6246
633,All Crime,Springbank Hill,Residential,9943
544,All Crime,Spruce Cliff,Residential,4673
662,All Crime,St. Andrews Heights,Residential,1795
237,All Crime,Starfield,Industrial,0
161,All Crime,Stonegate Landing,Industrial,0
208,All Crime,Stoney 1,Industrial,0
806,All Crime,Stoney 2,Industrial,0
249,All Crime,Stoney 3,Industrial,0
114,All Crime,Stoney 4,Industrial,0
410,All Crime,Strathcona Park,Residential,6855
1464,All Crime,Sunalta,Residential,3239
586,All Crime,Sundance,Residential,9736
1258,All Crime,Sunnyside,Residential,4230
2422,All Crime,Sunridge,Industrial,11
1701,All Crime,Taradale,Residential,19026
1838,All Crime,Temple,Residential,10977
1572,All Crime,Thorncliffe,Residential,8788
899,All Crime,Tuscany,Residential,19884
1736,All Crime,Tuxedo Park,Residential,5326
229,All Crime,University District,Residential,705
433,All Crime,University Heights,Residential,2921
208,All Crime,University Of Calgary,Residential,2367
455,All Crime,Upper Mount Royal,Residential,2478
306,All Crime,Valley Ridge,Residential,5585
385,All Crime,Valleyfield,Industrial,0
1901,All Crime,Varsity,Residential,12874
640,All Crime,Vista Heights,Residential,2370
430,All Crime,Walden,Residential,6228
1300,All Crime,West Hillhurst,Residential,6447
635,All Crime,West Springs,Residential,10758
339,All Crime,Westgate,Residential,3202
1244,All Crime,Westwinds,Industrial,0
1781,All Crime,Whitehorn,Residential,12019
353,All Crime,Wildwood,Residential,2709
1214,All Crime,Willow Park,Residential,5328
1128,All Crime,Windsor Park,Residential,4584
1069,All Crime,Winston Heights/Mountview,Residential,3635
35,All Crime,Wolf Willow,Residential,0
635,All Crime,Woodbine,Residential,8866
673,All Crime,Woodlands,Residential,6002
34,All Crime,Yorkville,Residential,14
